species,genus,species,full_name,native_status,comments,form,
CRRI,Cryptantha,rigida,Cryptantha rigida,native,,herb,Actually C. affinis
CRTO,Cryptantha,torreyana,Cryptantha torreyana,native,could be C milobakeri,herb,
CYEC,Cynosurus,echinatus,Cynosurus echinatus,non_native,,grass,
CYGR,Cynoglossum,grande,Cynoglossum grande,native,,herb,
DAGL,Dactylis,glomerata,Dactylis glomerata,non_native,,grass,
DAPU,Daucus,pusillus,Daucus pusillus,native,,herb,
DICA,Dichelostemma,capitatum,Dichelostemma capitatum,native,,herb,
DIID,Dichelostemma,ida-maia,Dichelostemma ida-maia,native,,herb,
DIKE,Diplacus,kelloggii,Diplacus kelloggii,native,,herb,
DIMU,Dichelostemma,multiflorum,Dichelostemma multiflorum,native,,herb,
DOXX,Dodecatheon,sp.,Dodecatheon sp.,native,,herb,
DRAR,Dryopteris,arguta,Dryopteris arguta,native,,herb,
DRGL,Drymocallis,glandulosa,Drymocallis glandulosa,native,,herb,
ELEL,Elymus,elymoides,Elymus elymoides,native,,grass,
ELGL,Elymus,glaucus,Elymus glaucus,native,,grass,
ELMU,Elymus,multisetus,Elymus multisetus,native,,grass,
ELTR,Elymus,trachycaulis,Elymus trachycaulis,native,,grass,
EPMI,Epilobium,minutum,Epilobium minutum,native,,herb,
EPXX,Epilobium,sp.,Epilobium sp.,native,,herb,
ERCA,Eriodictyon,californicum,Eriodictyon californicum,native,,shrub,
ERCAP,Erisymum,capitatum,Erisymum capitatum,native,,herb,
ERLA,Eriophyllum,lanatum,Eriophyllum lanatum,native,,herb,
ERNA,Ericameria,nauseosa,Ericameria nauseosa,native,,shrub,
ERNU,Eriogonum,nudum,Eriogonum nudum,native,,herb,
EURA,Eurybia,radulina,Eurybia radulina,native,possible some are mis'ID'ed goldenrods; previouslt id'd as DAISY SP,herb,
FECA,Festuca,californica,Festuca californica,native,,grass,
FEID,Festuca,idahoense,Festuca idahoense,native,,grass,
FEMI,Festuca,microstachys,Festuca microstachys,native,,grass,
FEOC,Festuca,occidentalis,Festuca occidentalis,native,,grass,
FRLA,Fraxinus,latifolia,Fraxinus latifolia,native,,tree,
FRVE,Fragaria,vesca,Fragaria vesca,native,,herb,
FRXX,Fritillaria,sp.,Fritillaria sp.,native,,herb,
FUZZY,grass,sp,grass sp,non_native,??,grass,
GABI,Galium,bifolium,Galium bifolium,native,initially thought to be GAAP,herb,
GABI,Galium,triflorum,Galium triflorum,native,,herb,
GABO,Gallium,bolanderi,Gallium bolanderi,native,,herb,
GABOR,Galium,boreale,Galium boreale,native,,herb,
GAFR,Garrya,fremontii,Garrya fremontii,native,,shrub,
GAPA,Galium,parisiense,Galium parisiense,non_native,,herb,
GATR,Gallium,triflorum,Gallium triflorum,native,,herb,
GICA,Gilia,capitata,Gilia capitata,native,,herb,
GOOB,Goodyera,oblongifolia,Goodyera oblongifolia,native,,herb,
HAAL,Hastingia,alba,Hastingia alba,native,,herb,
HEAR,Heteromeles,arbutifolia,Heteromeles arbutifolia,native,,shrub,
HEXX,Heuchera,sp.,Heuchera sp.,native,check,herb,
HIAL,Hieracium,albiflorum,Hieracium albiflorum,native,,herb,
HIRA,Hieracium,radicata,Hieracium radicata,non_native,,herb,
HOCR,Hosackia,crassifolia,Hosackia crassifolia,native,,herb,
HODI,Holodiscus,discolor,Holodiscus discolor,native,,shrub,
HOXX,Horkelia,sp,Horkelia sp,native,maybe H. tridentata  no specimen,herb,
HYPE,Hypericum,perfoliatum,Hypericum perfoliatum,non_native,,herb,
IRMA,Iris,macrosiphon,Iris macrosiphon,native,,herb,
IRSI,Iris,siskiyouense,Iris siskiyouense,native,,herb,
IRTE,Iris,tenuissima,Iris tenuissima,native,,herb,
IRXX,Iris,sp.,Iris sp.,native,,herb,
ISTI,Isatis,tinctoria,Isatis tinctoria,non_native,,herb,
KECO,Keckiella,corymbosa,Keckiella corymbosa,native,,herb,
KELE,Keckiella,lemmonnii,Keckiella lemmonnii,native,,herb,
KOST,Kopsiopsis,strobilacea,Kopsiopsis strobilacea,native,,herb,
LANE,Lathyrus,nevadensis var. nevadensis,Lathyrus nevadensis var. nevadensis,native,initially thought to be VISA,herb,
LASE,Lactuca,serriola,Lactuca serriola,non_native,,herb,
LAXX,Lathyrus,sp.,Lathyrus sp.,non_native,could not id; cannot assume native,herb,
LIBO,Linnaea,borealis,Linnaea borealis,native,,herb,
LICA,Ligusticum,californicum,Ligusticum californicum,native,,herb,
LIHE,Lithophragma,heterophyllum,Lithophragma heterophyllum,native,,herb,
LIWA,Lilium,washingtonianum,Lilium washingtonianum,native,,herb,
LOHI,Lonicera,hispidula,Lonicera hispidula,native,,shrub,
LOMA,Lomatium,macrocarpum,Lomatium macrocarpum,native,,herb,
LOTR,Lomatium,triternatum,Lomatium triternatum,native,,herb,
LUAN,Lupinus,andersonii,Lupinus andersonii,native,,herb,
LULA,Lupinus,latifolius,Lupinus latifolius,native,,herb,
LULE,Lupinus,leucophyllus,Lupinus leucophyllus,native,,herb,
LUTR,Lupinus,tracyi,Lupinus tracyi,native,check specimen,herb,
LUXX,Lupinus,sp.,Lupinus sp.,native,,herb,
LUZX,Luzula,sp.,Luzula sp.,native,,grass,
LYLA,Lysimachia,latiolia,Lysimachia latiolia,native,previously Trientalis,herb,
MAAQ,Mahonia,aquifolium,Mahonia aquifolium,native,,shrub,
MAEL,Madia,elegans,Madia elegans,native,,herb,
MAEX,Madia,exigua,Madia exigua,native,probably often misidentified as MAGR,herb,
MAGR,Madia,gracilis,Madia gracilis,native,,herb,
MANE,Mahonia,nervosa,Mahonia nervosa,native,,shrub,
MAOR,Marah,oregana,Marah oregana,native,,herb,
MARA,Maianthemum,racemosum,Maianthemum racemosum,native,,herb,
MEHA,Melica,harfordii,Melica harfordii,native,"originally recorded as MECA; not sure they were all M. harfordii, might be safest to use genus level",grass,
MICA,Micropus,californicus,Micropus californicus,native,,herb,
MOHY,Monotropa,hypopitys,Monotropa hypopitys,native,,herb,
