site_id,species,layer1_cov,layer1_ht,layer2_cov,layer2_ht,layer3_cov,layer3_ht,regr_ht,PSME_regr_ht
21,CONU,15,2.5,,,,,,
21,QUCH,15,1.5,,,,,,
21,MANE,10,0.5,,,,,,
21,CHCH,15,3,,,,,,
21,PSME,5,35,1,0.5,,,,
21,ACMA,30,6,,,,,,
21,ARME,10,3,,,,,,
21,CADE,0,15,,,,,,
21,ROGY,1,1,,,,,,
21,RIRO,0.5,0.5,,,,,,
21,RUPA,5,0.5,,,,,,
21,ABCO,1,0.5,,,,,,
21,SASC,0.5,1,,,,,,
21,PIPO,5,3,,,,,,
21,ALRH,15,6,,,,,,
21,SALU,1,6,,,,,,
21,QUKE,0.5,2,,,,,,
25,ROGY,1,1,,,,,,
25,PHLE,0.5,2,,,,,,
25,TODI,1,0.1,,,,,,
25,MANE,20,0.4,,,,,,
25,NODE,40,16,40,5,,,,
25,ARME,5,15,,,,,,
25,PSME,55,45,,,,,,
25,QUCH,1,10,,,,,,
25,COCO,5,2,,,,,,
25,ACMA,20,6,,,,,,
25,CONU,1,4,,,,,,
25,CADE,5,45,,,,,,
25,SASC,1,2,,,,,,
25,CEIN,0.5,0.5,,,,,,
25,MAAQ,0.5,1,,,,,,
27,PSME,75,30,,,,,,
27,QUCH,5,20,10,8,40,1.5,,
27,ARME,2,10,,,,,,
27,UMCA,5,5,,,,,,
27,TODI,15,0.4,,,,,,
27,ARVI,1,15,,,,,,
27,QUKE,5,12,,,,,,
27,NODE,1,1,,,,,,
28,ARME,25,7,,,,,5,0
28,QUCH,5,7,15,2,,,,
28,PSME,45,10,,,,,,
28,CONU,5,3,,,,,,
28,TODI,30,1.5,,,,,,
28,QUKE,10,5,,,,,,
28,PIPO,1,40,,,,,,
28,RIRO,1,1,,,,,,
28,CEIN,10,2,,,,,,
28,HEAR,0.5,1.5,,,,,,
28,NODE,5,4,,,,,,
30,QUCH,25,12,,,,,,
30,PSME,60,1,,,,,,
30,COCO,15,2,,,,,,
30,NODE,30,17,,,,,,
30,QUKE,15,12,,,,,,
30,UMCA,5,1,,,,,,
30,ARME,5,35,,,,,,
30,TODI,5,0.2,,,,,,
32,QUCH,20,32,30,2,,,,
32,PILA,0.5,1.5,15,35,5,1.5,,
32,PSME,30,60,,,,,,
32,COCO,2,2,,,,,,
32,NODE,30,4,,,,,,
32,CONU,1,5,,,,,,
32,ACMA,15,10,,,,,,
32,TODI,10,1,,,,,,
32,ARME,5,4,,,,,,
32,OECE,0.5,0.5,,,,,,
32,QUKE,0.5,0.5,,,,,,
33,PSME,40,45,25,25,10,5,,
33,QUKE,20,18,,,,,,
33,QUCH,10,13,5,1,,,,
33,NODE,10,5,,,,,,
33,ARME,15,12,,,,,,
33,PILA,5,45,2,4,,,,
34,PSME,5,40,10,10,,,6,0
34,ARME,8,4,,,,,,
34,QUKE,5,6,20,2.5,,,,
34,CEIN,40,2,,,,,,
34,TODI,15,1,,,,,,
34,ACMA,2,5,,,,,,
34,COCO,2,2,,,,,,
34,QUCH,1,4,2,1,,,,
34,QUGA,1,2,,,,,,
36,PSME,15,47,,,,,3,0
36,PILA,5,47,,,,,,
36,QUKE,0.5,3,,,,,,
36,NODE,5,3,,,,,,
36,ARME,10,3,,,,,,
36,AIAL,0.5,3,,,,,,
36,TODI,20,0.5,,,,,,
36,ROGY,10,1.5,,,,,,
36,COCO,5,0.7,,,,,,
36,RIRO,5,1,,,,,,
36,PIAT,5,0.5,,,,,,
36,QUCH,0.5,1,,,,,,
36,PHLE,1,1,,,,,,
37,NODE,70,35,45,7,65,1.5,,
37,ARME,10,6,,,,,,
37,PSME,30,45,,,,,,
37,CONU,5,6,,,,,,
37,TODI,3,0.4,,,,,,
37,ACMA,5,7,,,,,,
37,ALRH,1,30,,,,,,
37,MANE,0.5,0.5,,,,,,
38,NODE,60,7,40,2,,,,
38,TODI,5,0.5,,,,,,
38,PSME,35,28,,,,,,
38,PIPO,30,28,,,,,,
38,ARME,1,10,,,,,,
38,PILA,5,35,,,,,,
38,ROGY,0.5,0.5,,,,,,
38,SYMO,1,0.5,,,,,,
38,QUKE,0.5,5,,,,,,
40,TODI,7,1.5,,,,,8,0
40,CEIN,70,2,,,,,,
40,PSME,20,35,,,,,,
40,NODE,30,6,,,,,,
40,QUKE,20,8,,,,,,
40,QUGA,5,6,,,,,,
40,ARME,10,15,,,,,,
40,QUCH,0.5,1.5,,,,,,
40,CADE,0.5,0.2,,,,,,
40,MAAQ,1,0.2,,,,,,
41,ROGY,0.5,0.5,,,,,,
41,COCO,10,1,,,,,,
41,RISA,0.5,0.2,,,,,,
41,CONU,0.5,4,,,,,,
41,QUCH,15,10,,,,,,
41,PSME,90,40,,,,,,
41,ARME,10,25,,,,,,
41,ACMA,12,10,,,,,,
41,NODE,5,4,,,,,,
41,MAAQ,0.5,0.5,,,,,,
41,TODI,2,0.3,,,,,,
41,QUKE,0.5,2,,,,,,
41,SYMO,1,0.2,,,,,,
41,ABCO,0.5,8,,,,,,
42,QUKE,20,10,,,,,11,11
42,PSME,40,11,,,,,,
42,ARME,40,9,,,,,,
42,TODI,20,1,,,,,,
42,MANE,5,0.5,,,,,,
42,HODI,1,2,,,,,,
42,NODE,1,2,,,,,,
42,CEIN,1,2,,,,,,
42,SYMO,0.5,2.5,,,,,,
42,COCO,0.5,1,,,,,,
42,SASC,1,7,,,,,,
42,QUCH,5,6,,,,,,
42,ACMA,1,8,,,,,,
42,PTAQ,1,1,,,,,,
42,PIPO,0.5,4,,,,,,
42,ROGY,0.5,0.2,,,,,,
43,NODE,40,15,15,5,,,,
43,PSME,70,35,,,,,,
43,ROGY,7,0.2,,,,,,
43,CONU,0.5,0.25,,,,,,
43,ARME,10,15,,,,,,
43,MANE,6,0.3,,,,,,
43,COCO,2,0.5,,,,,,
43,CEIN,0.5,3,,,,,,
43,TODI,1,0.3,,,,,,
43,QUCH,3,5,,,,,,
43,CHCH,5,13,,,,,,
43,SYMO,0.5,0.3,,,,,,
44,PSME,50,35,,,,,,
44,ARME,10,7,,,,,,
44,NODE,15,6,,,,,,
44,COCO,15,2.5,,,,,,
44,HODI,10,2.5,,,,,,
44,MANE,10,0.2,,,,,,
44,CONU,10,5,,,,,,
44,ABCO,35,35,,,,,,
44,QUCH,10,2,,,,,,
44,ROGY,10,1,,,,,,
44,RUPA,8,0.3,,,,,,
44,CEIN,5,1.8,,,,,,
44,SASC,1,2,,,,,,
44,ACMA,1,4,,,,,,
44,RISA,0.5,1.5,,,,,,
44,SYMO,5,0.3,,,,,,
44,CESA,5,3,,,,,,
44,CHCH,0.5,0.5,,,,,,
46,NODE,60,8,,,,,8,15
46,ARME,30,7,,,,,,
46,TODI,10,2,,,,,,
46,PSME,5,35,10,15,,,,
46,QUCH,10,2.5,,,,,,
46,COCO,5,2,,,,,,
46,MANE,0.5,0.2,,,,,,
46,ROGY,1,0.3,,,,,,
46,CONU,5,4,,,,,,
46,HODI,5,2,,,,,,
46,QUKE,0.5,10,,,,,,
46,RUPA,1,0.5,,,,,,
47,PSME,20,35,,,,,5,0
47,ARME,15,4,,,,,,
47,SASC,25,2.2,,,,,,
47,CEIN,40,3,,,,,,
47,QUKE,10,5,,,,,,
47,NODE,10,4,,,,,,
47,QUCH,5,2.5,,,,,,
47,ARCA,1,1,,,,,,
47,HODI,0.5,1.5,,,,,,
47,TODI,5,1,,,,,,
47,ROGY,0.5,1,,,,,,
47,RHPU,0.5,1,,,,,,
47,PIPO,5,45,,,,,,
47,CADE,1,45,,,,,,
47,PILA,1,30,,,,,,
47,AMAL,0.5,1.5,,,,,,
49,PSME,45,35,,,,,,
49,ARME,15,15,,,,,,
49,QUCH,5,10,10,1,,,,
49,ROGY,5,0.5,,,,,,
49,TODI,15,1,,,,,,
49,NODE,20,15,20,2,,,,
49,COCO,0.5,1,,,,,,
49,ACMA,1,8,,,,,,
49,QUKE,1,3,,,,,,
49,SYMO,1,0.2,,,,,,
49,RIRO,0.5,0.2,,,,,,
49,CHCH,0.5,1.5,,,,,,
51,ACMA,25,4,,,,,4,0
51,QUKE,10,3,,,,,,
51,ARME,5,3,,,,,,
51,NODE,1,1.5,,,,,,
51,TODI,15,1,,,,,,
51,QUCH,15,1,,,,,,
51,COCO,1,1,,,,,,
51,CEIN,10,1.5,,,,,,
51,RIRO,5,1,,,,,,
52,RISA,0.5,0.2,,,,,3,0.2
52,RIRO,1,0.5,,,,,,
52,CEIN,65,0.5,,,,,,
52,PSME,1,0.2,,,,,,
52,QUKE,5,3,,,,,,
52,ARME,10,2,1,0.1,,,,
52,NODE,15,2,,,,,,
52,ARCA,1,0.3,,,,,,
52,TODI,10,0.5,,,,,,
52,SYMO,0.5,0.2,,,,,,
52,QUCH,5,1,,,,,,
53,PSME,60,40,,,,,,
53,MANE,30,0.5,,,,,,
53,ACMA,5,10,5,3,,,,
53,NODE,10,25,10,1,,,,
53,ARME,1,25,,,,,,
53,TODI,10,0.5,,,,,,
53,CEIN,0.5,0.2,,,,,,
53,RISA,0.5,0.3,,,,,,
53,ROGY,0.5,0.3,,,,,,
54,PSME,80,25,,,,,,
54,ARME,10,15,10,2,,,,
54,QUCH,35,15,5,0.5,,,,
54,TODI,25,0.5,,,,,,
54,QUKE,1,10,,,,,,
54,CEOC,1,0.5,,,,,,
55,COCO,50,3,,,,,,
55,PSME,85,35,,,,,,
55,QUKE,20,20,,,,,,
55,TODI,30,1,,,,,,
55,RIRO,5,1,,,,,,
55,CEIN,0.5,0.5,,,,,,
55,SYAL,0.5,0.5,,,,,,
55,ROGY,1,0.5,,,,,,
55,SYMO,20,0.5,,,,,,
55,QUCH,1,1,,,,,,
55,ACMA,1,8,,,,,,
55,PILA,5,40,,,,,,
55,QUGA,10,13,,,,,,
56,CEIN,50,2,,,,,7,5
56,QUCH,50,5,,,,,,
56,QUGA,30,7,,,,,,
56,QUKE,35,7,,,,,,
56,PIPO,10,5,,,,,,
56,TODI,15,1,,,,,,
56,CADE,5,3,,,,,,
56,PSME,1,5,,,,,,
56,AMAL,0.5,2,,,,,,
57,PSME,80,35,,,,,,
57,PIPO,0.5,20,,,,,,
57,PILA,0.5,20,,,,,,
57,CEIN,0.5,0.3,,,,,,
57,ARME,10,15,,,,,,
57,QUKE,60,15,,,,,,
57,QUGA,15,6,,,,,,
57,QUCH,20,10,,,,,,
57,COCO,25,1.5,,,,,,
57,ARVI,0.5,0.5,,,,,,
57,ACMA,1,3,,,,,,
57,RIRO,0.5,0.1,,,,,,
58,ACMA,65,7,,,,,7,7
58,QUCH,20,5,,,,,,
58,PSME,10,7,,,,,,
58,CONU,5,4,,,,,,
58,CEIN,30,1,,,,,,
58,COCO,10,3,,,,,,
58,RIRO,1,1,,,,,,
58,TODI,15,1,,,,,,
58,ROGY,1,1,,,,,,
58,SANIG,1,2,,,,,,
58,SYMO,5,0.5,,,,,,
58,PIPO,10,5,,,,,,
58,PHLE,5,4,,,,,,
58,ARME,1,0.5,,,,,,
58,CADE,1,6,,,,,,
58,RISA,0.5,1,,,,,,
59,PSME,5,40,30,25,1,2,,
59,NODE,50,25,25,1,,,,
59,ACMA,1,10,,,,,,
59,CEIN,5,2,,,,,,
59,ARME,0.5,4,,,,,,
59,CONU,1,3,,,,,,
59,TODI,1,1,,,,,,
59,SASC,1,4,,,,,,
59,ROGY,1,1,,,,,,
59,ABCO,0.5,2,,,,,,
60,CHCH,1,15,,,,,5,1
60,NODE,10,15,20,3,,,,
60,PSME,20,35,1,1,,,,
60,ARME,5,15,15,5,,,,
60,CEIN,75,2,,,,,,
60,QUKE,1,25,20,5,,,,
60,TODI,1,0.5,,,,,,
