site_id,species,pa
14,PIWO,1
37,BTYW,1
37,BRCR,1
37,RBSA,1
38,AMRO,1
38,DEJU,1
14,BTYW,1
3,BTYW,1
3,RBNU,1
2,MGWA,1
2,HOWR,1
2,WREN,1
2,OCWA,1
2,PSFL,1
4,XXHU,1
5,AMRO,1
5,XXHU,1
7,BUSH,1
7,AMRO,1
7,PUFI,1
7,NOPO,1
7,MGWA,1
7,NAWA,1
8,BRCR,1
8,HAWO,1
9,STJA,1
9,PUFI,1
12,BTYW,1
12,DOWO,1
16,WREN,1
17,DOWO,1
17,CBCH,1
12,HAWO,1
12,BTYW,1
15,BTYW,1
18,VASW,1
19,RUHU,1
19,BHGR,1
19,LEGO,1
19,HAFL,1
19,BUSH,1
19,OSFL,1
19,BEWR,1
20,SPTO,1
20,MGWA,1
21,NAWA,1
21,LAZB,1
21,BRCR,1
21,PUFI,1
25,CAVI,1
25,NAWA,1
25,WETA,1
40,PUFI,1
40,NOFL,1
21,MOUQ,1
20,CAVI,1
27,HAWO,1
28,HUVI,1
30,PIWO,1
34,BUSH,1
34,AMRO,1
36,MGWA,1
55,BRCR,1
7,WREN,1
56,DEJU,1
56,BTYW,1
56,NOFL,1
57,RBSA,1
57,PUFI,1
57,AMRO,1
58,WREN,1
58,STJA,1
58,DOWO,1
58,XXHU,1
59,HAWO,1
60,MGWA,1
60,ACWO,1
60,GCKI,1
60,HUVI,1
60,PSFL,1
47,BRCR,1
47,BEWR,1
47,OCWA,1
41,HUVI,1
21,RBSA,1
46,RBSA,1
46,HUVI,1
46,HEWA,1
42,CBCH,1
44,GCKI,1
44,CBCH,1
51,HAWO,1
51,LEGO,1
52,LEGO,1
49,BRCR,1
49,RBSA,1
53,CAVI,1
53,HEWA,1
52,ACWO,1
34,NAWA,1
36,LAZB,1
36,NOFL,1
36,HAWO,1
33,PIWO,1
33,NOFL,1
4,LEGO,1
4,VGSW,1
4,WREN,1
202,LAZB,1
202,RBNU,1
202,XXHU,1
202,AMRO,1
202,CASJ,1
203,WEWP,1
203,RBNU,1
204,MAWA,1
204,LEGO,1
204,YBCH,1
204,WREN,1
203,CAVI,1
205,MGWA,1
206,HAWO,1
206,WEWP,1
206,NAWA,1
205,AMRO,1
207,WEWP,1
206,CBCH,1
209,WETA,1
209,TOSO,1
209,AMRO,1
209,MAWA,1
209,MOUQ,1
209,BRCR,1
208,BTPI,1
208,NOFL,1
208,XXHU,1
208,WREN,1
210,HUVI,1
213,WREN,1
214,RBSA,1
214,CAVI,1
223,CAVI,1
228,MGWA,1
228,RBSA,1
226,WEWP,1
226,MOUQ,1
226,HAFL,1
222,BTYW,1
224,SPTO,1
224,PUFI,1
227,MGWA,1
233,WAVI,1
233,NOFL,1
233,WETA,1
229,RBSA,1
236,DEJU,1
236,RBNU,1
236,FOSP,1
238,RBSA,1
242,XXHU,1
242,BTYW,1
242,BHGR,1
237,LEGO,1
238,RBNU,1
238,PUFI,1
238,AMRO,1
238,ATFL,1
242,AMRO,1
247,RBSA,1
247,BHGR,1
248,RBSA,1
244,DEJU,1
243,XXHU,1
246,PUFI,1
245,RBNU,1
250,BHGR,1
251,GCKI,1
255,BHGR,1
255,BTYW,1
254,DEJU,1
257,CAVI,1
259,BRCR,1
263,MODO,1
259,LAZB,1
259,RUHU,1
263,RUHU,1
263,WETA,1
266,NOFL,1
266,BHGR,1
267,CBCH,1
267,HOWR,1
267,LAZB,1
268,CAVI,1
14,LAZB,1
14,MGWA,1
