"","species","mean_cov","sd_cov"
"165","SYMO",53.4186046511628,25.5866711563616
"166","TABR",45,NA
"167","TODI",54.875,28.2951778331149
"168","TRCA",55.3333333333333,19.1298818854791
"169","TRCR",35,0
"170","TRER",35,NA
"171","UMCA",56.1111111111111,31.8960986816744
"172","VAHE",52.2222222222222,32.6066625775231
"173","VAPA",27.5,24.7487373415292
"174","VIAM",43.9583333333333,23.4047174112709
"175","VICA",48.3333333333333,10.4083299973307
"176","VILO",63.6666666666667,22.9963765261689
"177","WHMO",55.625,30.4343555870664
"178","WOFI",65,NA
"179","WYMO",35,NA
"180","XETE",10,NA
"181","YAMI",31.6666666666667,5.77350269189626
