,species,UNLS_occ,HS_occ,MANAG_occ,MULT_occ,Rx_occ,total_occ,,ratio,ratio2,,,total,mult,Rx
6,ADBI,32,0,24,4,56,23,,0,0,,hs,56,50,36
38,CHME,11,0,9,4,17,8,,0,0,,ls,35,21,24
40,CHUM,24,0,13,4,28,15,,0,0,,,,,
64,HAFL,3,0,15,7,28,8,,0,0,,,total,mult,
66,HETH,16,0,11,0,28,11,,0,0,,hs,56,89,64
99,PAWR,11,0,4,4,6,6,,0,0,,ls,35,60,69
138,TOSO,3,0,22,7,44,11,,0,0,,,,,
139,TRCA,5,0,28,14,50,15,,0,0,,,,,
63,GOOB,19,0,0,0,0,7,,0,#DIV/0!,,,,,
54,Evernia,30,4,17,25,6,20,,0.124579125,0.212962963,,,,,
145,VILO,24,4,22,18,28,20,,0.152263374,0.17037037,,,,,
120,RBNU,43,7,61,39,89,45,,0.171296296,0.121693122,,,,,
71,HUVI,43,7,24,29,17,29,,0.171296296,0.30976431,,,,,
34,CBCH,41,7,24,11,39,27,,0.182716049,0.30976431,,,,,
22,BRCR,38,7,43,32,61,36,,0.195767196,0.17037037,,,,,
116,Pyrola,35,7,4,4,6,17,,0.210826211,1.703703704,,,,,
79,Lobaria,51,11,9,14,0,26,,0.216374269,1.277777778,,,,,
8,Ahtiana,49,11,15,11,22,28,,0.228395062,0.73015873,,,,,
142,Usnea,65,15,30,32,28,42,,0.228395062,0.486772487,,,,,
108,Platismatia,46,11,17,18,17,28,,0.241830065,0.638888889,,,,,
105,PILA,43,11,50,36,72,42,,0.256944444,0.222222222,,,,,
13,ANMAD,51,15,28,29,28,36,,0.288499025,0.524216524,,,,,
24,Bryoria sp.,49,15,54,32,83,46,,0.304526749,0.272592593,,,,,
53,Esslingeriana,73,22,52,39,67,56,,0.304526749,0.425925926,,,,,
97,OSBE,35,11,48,39,61,38,,0.316239316,0.232323232,,,,,
78,Letharia,46,15,59,39,83,47,,0.322440087,0.252400549,,,,,
140,Tuckermanopsis,78,26,50,32,72,58,,0.330779055,0.518518519,,,,,
121,RBSA,11,4,30,11,56,18,,0.342592593,0.121693122,,,,,
98,Parmelia,32,11,17,18,17,23,,0.342592593,0.638888889,,,,,
86,MARA,11,4,2,18,0,6,,0.342592593,1.703703704,,,,,
74,Kaernefeltia,27,11,30,25,33,26,,0.411111111,0.365079365,,,,,
106,Piperia,8,4,7,11,0,7,,0.456790123,0.567901235,,,,,
12,AMRO,38,19,35,29,39,34,,0.489417989,0.532407407,,,,,
73,Iris,59,30,67,61,78,61,,0.498316498,0.439665472,,,,,
62,GATR,30,15,22,18,28,25,,0.498316498,0.681481481,,,,,
72,Hypogymnia,84,44,67,50,89,73,,0.53046595,0.659498208,,,,,
67,HIAL,49,26,67,57,78,55,,0.532921811,0.384707288,,,,,
110,POIM,59,33,41,43,39,50,,0.560606061,0.807017544,,,,,
48,DEJU,46,26,48,25,78,45,,0.564270153,0.542087542,,,,,
112,PSFL,46,26,22,21,17,33,,0.564270153,1.192592593,,,,,
33,CAVI,65,37,65,68,56,63,,0.570987654,0.567901235,,,,,
111,PRHO,32,19,24,29,11,27,,0.570987654,0.774410774,,,,,
9,Alectoria,32,19,13,18,6,23,,0.570987654,1.419753086,,,,,
4,ACTR,19,11,11,18,0,15,,0.587301587,1.022222222,,,,,
57,FEOC,49,30,54,43,72,51,,0.609053498,0.545185185,,,,,
25,BTYW.HEWA,73,48,74,71,72,73,,0.659807956,0.651416122,,,,,
18,ASHA,5,4,9,7,11,7,,0.685185185,0.425925926,,,,,
10,ALRH,5,4,7,11,0,6,,0.685185185,0.567901235,,,,,
83,MAAQ,5,4,7,7,6,6,,0.685185185,0.567901235,,,,,
28,CAMU,16,11,41,43,39,28,,0.685185185,0.269005848,,,,,
146,Vulpicida,16,11,22,21,22,19,,0.685185185,0.511111111,,,,,
46,CONU,32,22,33,14,61,33,,0.685185185,0.681481481,,,,,
109,POCO,22,15,7,11,0,15,,0.685185185,2.271604938,,,,,
93,Nemophila,11,7,26,11,44,17,,0.685185185,0.283950617,,,,,
94,Nephroma,11,7,11,4,17,10,,0.685185185,0.681481481,,,,,
88,Melanelixia,11,7,9,7,11,10,,0.685185185,0.851851852,,,,,
141,UMCA,11,7,4,7,0,8,,0.685185185,1.703703704,,,,,
2,ACMA,54,41,41,32,56,50,,0.753703704,0.986354776,,,,,
134,STJA,76,59,85,79,89,82,,0.783068783,0.698955366,,,,,
148,WETA,70,56,83,79,83,78,,0.790598291,0.67251462,,,,,
80,LOHI,65,52,37,50,17,55,,0.799382716,1.403050109,,,,,
113,PSME,97,78,98,96,94,101,,0.799382716,0.795061728,,,,,
43,COCO,46,37,43,43,44,47,,0.806100218,0.851851852,,,,,
65,HAWO,27,22,46,43,44,36,,0.822222222,0.486772487,,,,,
37,CHCH,14,11,13,4,28,14,,0.822222222,0.851851852,,,,,
102,PHLE,14,11,2,0,6,9,,0.822222222,5.111111111,,,,,
143,VAHE,14,11,2,4,0,9,,0.822222222,5.111111111,,,,,
