"","MDS1","MDS2"
"1",-1.80951185631571,2.00177804670104
"2",-1.84713290554538,-0.885890017149296
"3",-1.54738413190886,0.905735289606826
"4",-2.0827836630669,-0.444265002253887
"5",-1.50114106561006,-1.03469591722406
"6",-0.957880706778025,-1.27100070807615
"7",-1.30738898820741,-0.799125370740874
"8",-1.02958669320746,0.126575470973666
"9",-0.424046173573301,-1.85040520589744
"10",-0.667347453429899,0.454567875895814
"11",-0.494374943170209,0.465012563012862
"12",-0.359450281029239,0.549580535553029
"13",-0.275198574817736,0.589177055623452
"14",-0.254072539200201,0.466670632565339
"15",-0.166842519361752,0.539959314817644
"16",-0.147960982079915,0.456287476710264
"17",-0.0708650797009295,0.491375792948424
"18",-0.268204339133746,-0.0628138195175418
"19",-0.0408041631063658,0.334744406904327
"20",-0.200458584200664,-0.179682164604475
"21",0.233556470961862,0.363492382130884
"22",0.155179004528888,0.186510111820773
"23",0.144209264425757,-0.46348787871236
"24",0.308192218396027,0.249535601165668
"25",0.561177081512521,0.524913221013642
"26",0.168662191185269,-0.308439879489044
"27",0.136370372126051,-0.16766533385052
"28",0.892693105848332,-0.829823525677426
"29",0.436661386764737,0.149457528925379
"30",0.474324328444728,0.163128680180601
"31",0.659947077218202,0.237992392056818
"32",0.517787772532859,0.143745469117957
"33",0.52008797005466,0.118333265826114
"34",0.574831796131956,0.138593287216678
"35",0.750046609662493,0.18548988158082
"36",0.622222186093728,0.100204956079313
"37",1.2465749613562,-0.143631764164152
"38",0.543679948624571,0.0309488388796653
"39",0.67072926767837,-0.726603122415441
"40",0.799060951196706,-0.132105449365306
"41",0.637946022899623,0.0198080514892953
"42",0.569483972047145,-0.0228762126537599
"43",0.574647146085291,-0.191251119265239
"44",0.690710953827801,-0.101860035237954
"45",0.644159705569258,-0.0464030477010333
"46",0.579471812978724,-0.278664034591853
"47",0.67033361618926,-0.0152736017515516
"48",0.66968844910273,-0.0376549184569425
