"","MDS1","MDS2"
"1",-0.699562677470965,-0.30858914475914
"2",-0.292113857163041,-0.828016331009289
"3",0.662446338738299,-0.328952383431358
"4",-1.08753810408313,-0.322606708402435
"5",-0.747010585292286,0.610418852057131
"6",-0.172304734452274,-0.323043542519861
"7",-0.0200708066028335,0.540730930215054
"8",0.0107316119563255,-1.05044113284897
"9",0.871767581780926,1.13203136061852
"10",0.749530146916841,1.09608770859827
"11",0.709532401104632,0.266784737634933
"12",0.755152726048616,-0.580569433862309
"13",1.25295599989884,0.181022697548546
"14",-0.834628627114546,0.219199240188047
"15",-0.261322157453856,-0.64373443995274
"16",0.971954059891783,0.187577960387632
"17",-0.771729285124594,0.235631814760951
"18",-0.402781128362857,0.0909866058048006
"19",-0.367997896387411,-0.186455515729002
"20",-0.333117379829781,-0.289760742370028
"21",0.342887490708021,0.537893683717631
"22",1.24763079642435,-1.1160834838386
"23",-0.931243484825213,0.599238166359055
"24",-1.02356061522635,-0.0731921826593097
"25",1.61232811713439,-0.719072833851502
"26",-0.337823585579918,0.935936802107976
"27",-0.526716554272214,-0.495249015713544
"28",0.0750646944116359,0.185100403856082
"29",-0.8992415485242,-0.00238440324165906
"30",-0.589888739689054,-0.447781252307843
"31",-0.483830985134484,0.852593319359352
"32",0.414702126653154,0.585967957417233
"33",-0.465476372780918,0.0249185664840502
"34",0.934861070180219,0.717032106833172
"35",1.0366884204814,1.07420163214871
"36",0.195846975108994,1.10612126133337
"37",-1.03023428350261,0.149360430778139
"38",-0.450391693577978,-0.816197821656094
"39",-1.04006976827305,-0.63502926257614
"40",0.953241786511343,-0.554934256457489
"41",-0.0638416145582555,-0.296463976509915
"42",0.471767987968653,-1.00871640631552
"43",-1.02636394389971,0.595315697077908
"44",-0.8776540828743,-0.637020907774391
"45",-0.18850662608963,0.876793686145538
"46",0.882577430593167,-0.0849906354944531
"47",-0.0325079190982151,-0.566119487842685
"48",1.80586129473209,-0.485540320307826
