"","species","UNLS_occ","HS_occ","MULT_occ","Rx_occ"
"1","ACAM",0,0,17.8571428571429,5.55555555555556
"2","ACMA",54.0540540540541,40.7407407407407,32.1428571428571,55.5555555555556
"3","ACMI",2.7027027027027,18.5185185185185,28.5714285714286,27.7777777777778
"4","ACMO",0,3.7037037037037,10.7142857142857,0
"5","ACTR",18.9189189189189,11.1111111111111,17.8571428571429,0
"6","ACXX",0,0,10.7142857142857,0
"7","ADBI",35.1351351351351,0,3.57142857142857,55.5555555555556
"8","Agoseris",2.7027027027027,25.9259259259259,46.4285714285714,50
"9","ALAC",5.40540540540541,0,3.57142857142857,5.55555555555556
"10","ALRH",5.40540540540541,3.7037037037037,10.7142857142857,0
"11","AMAL",2.7027027027027,11.1111111111111,10.7142857142857,22.2222222222222
"12","ANMAD",51.3513513513513,14.8148148148148,28.5714285714286,27.7777777777778
"13","APAN",24.3243243243243,37.037037037037,42.8571428571429,55.5555555555556
"14","Arctostaphylos",8.10810810810811,22.2222222222222,25,22.2222222222222
"15","ARDI",21.6216216216216,25.9259259259259,21.4285714285714,27.7777777777778
"16","ARME",81.0810810810811,92.5925925925926,78.5714285714286,72.2222222222222
"17","ASHA",5.40540540540541,3.7037037037037,10.7142857142857,11.1111111111111
"18","ASPR",8.10810810810811,40.7407407407407,32.1428571428571,72.2222222222222
"19","ATDI",2.7027027027027,0,0,16.6666666666667
"20","BRCA",0,18.5185185185185,39.2857142857143,27.7777777777778
"21","BREL",0,7.40740740740741,14.2857142857143,0
"22","CADE",18.9189189189189,18.5185185185185,25,50
"23","CAMU",16.2162162162162,11.1111111111111,46.4285714285714,38.8888888888889
"24","CAOC",2.7027027027027,25.9259259259259,35.7142857142857,11.1111111111111
"25","CAREX",2.7027027027027,11.1111111111111,3.57142857142857,5.55555555555556
"26","Castilleja",2.7027027027027,7.40740740740741,3.57142857142857,22.2222222222222
"27","CEIN",40.5405405405405,92.5925925925926,89.2857142857143,72.2222222222222
"28","CESA",2.7027027027027,0,0,16.6666666666667
"29","CEVE",2.7027027027027,0,0,16.6666666666667
"30","CHAN",2.7027027027027,25.9259259259259,17.8571428571429,11.1111111111111
"31","CHCH",13.5135135135135,11.1111111111111,3.57142857142857,27.7777777777778
"32","CHME",10.8108108108108,0,3.57142857142857,16.6666666666667
"33","CHPO",2.7027027027027,7.40740740740741,14.2857142857143,0
"34","CHUM",24.3243243243243,0,3.57142857142857,27.7777777777778
"35","Cirsium",0,3.7037037037037,10.7142857142857,0
"36","Clarkia",2.7027027027027,14.8148148148148,21.4285714285714,11.1111111111111
"37","CLPE",2.7027027027027,7.40740740740741,21.4285714285714,11.1111111111111
"38","COCO",45.945945945946,37.037037037037,42.8571428571429,44.4444444444444
"39","COHE",18.9189189189189,40.7407407407407,46.4285714285714,55.5555555555556
"40","Collinsia",0,0,10.7142857142857,16.6666666666667
"41","CONU",32.4324324324324,22.2222222222222,14.2857142857143,61.1111111111111
"42","Cryptantha",2.7027027027027,0,21.4285714285714,22.2222222222222
"43","CYGR",0,7.40740740740741,7.14285714285714,5.55555555555556
"44","DAPU",0,18.5185185185185,7.14285714285714,0
"45","Dichelostemma",0,14.8148148148148,14.2857142857143,0
"46","DOXX",0,0,10.7142857142857,0
"47","DRGL",0,3.7037037037037,3.57142857142857,22.2222222222222
"48","ELGL",13.5135135135135,48.1481481481481,32.1428571428571,66.6666666666667
"49","EPXX",5.40540540540541,11.1111111111111,21.4285714285714,38.8888888888889
"50","ERLA",0,18.5185185185185,17.8571428571429,33.3333333333333
"51","ERNU",0,0,7.14285714285714,5.55555555555556
"52","EURA",0,7.40740740740741,3.57142857142857,5.55555555555556
"53","FECA",27.027027027027,33.3333333333333,32.1428571428571,61.1111111111111
"54","FEID",2.7027027027027,0,7.14285714285714,11.1111111111111
"55","FEMI",2.7027027027027,33.3333333333333,39.2857142857143,22.2222222222222
"56","FEOC",48.6486486486487,29.6296296296296,42.8571428571429,72.2222222222222
"57","FRVE",0,11.1111111111111,3.57142857142857,22.2222222222222
"58","GABI",2.7027027027027,3.7037037037037,7.14285714285714,33.3333333333333
"59","GABO",24.3243243243243,25.9259259259259,60.7142857142857,33.3333333333333
"60","GAFR",5.40540540540541,14.8148148148148,7.14285714285714,0
"61","GATR",29.7297297297297,14.8148148148148,17.8571428571429,33.3333333333333
"62","GOOB",18.9189189189189,0,0,0
"63","HEXX",2.7027027027027,7.40740740740741,3.57142857142857,11.1111111111111
"64","HIAL",48.6486486486487,25.9259259259259,57.1428571428571,77.7777777777778
"65","HOCR",0,14.8148148148148,14.2857142857143,11.1111111111111
"66","HODI",5.40540540540541,14.8148148148148,7.14285714285714,5.55555555555556
"67","Iris",59.4594594594595,29.6296296296296,60.7142857142857,77.7777777777778
"68","LANE",2.7027027027027,11.1111111111111,17.8571428571429,77.7777777777778
"69","LIHE",0,0,0,16.6666666666667
"70","LOHI",64.8648648648649,51.8518518518518,50,16.6666666666667
"71","Lupinus",5.40540540540541,11.1111111111111,10.7142857142857,27.7777777777778
"72","LYLA",54.0540540540541,66.6666666666667,50,66.6666666666667
"73","MAAQ",5.40540540540541,3.7037037037037,10.7142857142857,5.55555555555556
"74","Madia",2.7027027027027,55.5555555555556,67.8571428571429,61.1111111111111
"75","MANE",16.2162162162162,22.2222222222222,10.7142857142857,0
"76","MARA",13.5135135135135,7.40740740740741,21.4285714285714,11.1111111111111
"77","MEHA",32.4324324324324,55.5555555555556,57.1428571428571,50
"78","MOMA",5.40540540540541,7.40740740740741,17.8571428571429,27.7777777777778
