sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;Troposporella;Troposporella monospora;	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Olpidiaceae;Olpidium;Olpidium brassicae;	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Pseudeurotiaceae;NA;;	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Pseudeurotiaceae;Pseudeurotium;;	0	0	1	79	4	1	0	0	47	135	0	0	0	10	2	2	12	3
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Pseudoperisporiaceae;Bryochiton;Bryochiton monascus;	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;Xenasmataceae;Xenasmatella;Xenasmatella vaga;	1	0	0	0	0	0	0	0	0	0	0	0	0	24	3	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Botryosphaeriales;Botryosphaeriaceae;Phaeobotryon;Phaeobotryon negundinis;	3	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Cladosporium;;	0	20	157	2	2	1	0	0	33	1	3	0	30	8	15	11	0	43
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Cladosporiaceae;Rachicladosporium;;	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Cercospora;;	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Mycosphaerella;Mycosphaerella sp. AM-2006c;	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Pseudocercospora;;	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Austroafricana;Austroafricana parva;	4	0	0	1	1	0	0	0	0	17	0	0	0	0	0	0	1	1
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Capnobotryella;Capnobotryella sp. MA 4565;	3	0	2	1	0	0	0	0	5	5	0	0	0	1	3	4	1	2
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Devriesia;Devriesia pseudoamericana;	1	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Teratosphaeriaceae;Devriesia;Devriesia strelitziicola;	4	0	0	0	0	0	0	0	1	14	0	13	0	0	1	0	1	2
