sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;Clitocybe;Clitocybe dealbata;	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0	1	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Agaricales;Tricholomataceae;NA;;	0	0	0	15	0	20	1	0	0	0	0	0	0	9	0	0	1	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Boletales;Boletaceae;Xerocomus;;	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Boletales;NA;;;	0	0	0	13	0	0	10	0	0	1	0	0	0	0	1	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus;;	0	0	0	0	0	3	0	0	0	0	0	9	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus;Suillus cavipes;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Boletales;Suillaceae;Suillus;Suillus tomentosus;	0	23	0	1	0	0	1	1	0	0	0	0	0	0	0	2	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	7	0	0	0	0	0	0	0	0	37	23	44	0	12	20	54	873	10
Eukaryota;Fungi;Basidiomycota;Agaricomycetes;Polyporales;Meruliaceae;Merulius;Merulius incarnatus;	0	84	0	4	0	0	0	1	1	0	0	0	0	0	0	0	52	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;Capitellida;Capitellidae;Dasybranchus;Dasybranchus sp. DH1;	0	0	19	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Araneae;Nemesiidae;Aname;;	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Mesostigmata;Veigaiidae;Veigaia;Veigaia nemorensis;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	0	1	713	4	0	1	0	0	0	0	0	0	0	3	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;NA;NA;	100	0	69	0	0	0	0	0	0	197	6	8	217	103	27	424	39	264
NA;NA;NA;NA;NA;Brachychthoniidae;NA;NA;	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Eukaryota;Animalia;Arthropoda;Arachnida;Oribatida;Ceratozetidae;Diapterobates;;	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	5	0
Eukaryota;Animalia;Arthropoda;Arachnida;Oribatida;Ceratozetidae;Diapterobates;NA;	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
NA;NA;NA;NA;NA;Galumnidae;NA;;	0	0	0	0	9	0	2	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;Galumnidae;Pilogalumna;;	0	0	0	0	23	1	3	1	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Oribatida;Hydrozetidae;Hydrozetes;NA;	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	8	0	0
NA;NA;NA;NA;NA;NA;;;	0	0	0	0	0	0	1	0	0	0	0	86	0	9	0	24	59	0
NA;NA;NA;NA;NA;NA;NA;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0
Eukaryota;Animalia;Arthropoda;Arachnida;Oribatida;Oribatulidae;NA;;	0	0	64	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Eukaryota;Animalia;Arthropoda;Arachnida;Oribatida;Oribatulidae;Zygoribatula;NA;	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0
NA;NA;NA;NA;NA;Peloppiidae;Ceratoppia;NA;	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;Peloppiidae;Metrioppia;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	1	0
Eukaryota;Fungi;Ascomycota;Leotiomycetes;NA;Punctoribatidae;Punctoribates;Punctoribates palustris;	0	14	548	369	14	25	430	54	169	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;Scheloribatidae;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;Scheloribatidae;NA;NA;	0	0	0	0	0	0	0	0	0	620	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;Scheloribatidae;Scheloribates;;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
