sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Pseudochlorella;Pseudochlorella signiensis;	0	0	0	0	0	0	0	0	0	0	16	0	0	4	0	1	0	0
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Pseudochlorella;Pseudochlorella subsphaerica;	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Coenochloris;;	0	0	0	5	8	0	0	0	1	9	0	0	0	2	0	6	3	3
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Coenochloris;Coenochloris signiensis;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Chlorellales;Oocystaceae;Coenochloris;Coenochloris sp. CCCryo142-01;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Elliptochloris;Elliptochloris perforata;	28	0	0	0	0	0	0	0	0	40	0	0	0	0	1	0	0	1
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Stichococcus;Stichococcus sp. Z07020;	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1
Eukaryota;Plantae;Chlorophyta;Trebouxiophyceae;Microthamniales;NA;Trebouxia;;	0	0	0	0	0	0	0	93	0	19	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;Neocystis;Neocystis mucosa;	0	0	14	8	0	0	0	0	9	0	77	0	2	53	0	75	18	50
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;NA;Pseudostichococcus;Pseudostichococcus monallantoides;	0	3	2	0	213	0	0	109	50	0	3	0	30	7	13	11	0	756
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;Neocystis;;	0	1	1	0	0	0	0	0	57	0	53	0	14	119	0	0	0	417
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;Neocystis;Neocystis brevis;	0	0	0	0	0	0	0	0	0	0	8	32	0	15	0	0	1	5
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;Neocystis;Neocystis mucosa;	0	0	0	0	0	0	0	0	19	0	2	0	0	4	0	0	0	35
Eukaryota;Fungi;Zygomycota;NA;Mortierellales;Mortierellaceae;Mortierella;Mortierella sp. DWM19;	1	0	0	10	173	76	6	0	0	1	0	0	0	0	0	0	0	0
NA;NA;NA;NA;;NA;;;	7	0	0	5	161	115	8	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Zygomycota;NA;Umbelopsidales;Umbelopsidaceae;Umbelopsis;;	0	0	0	0	0	0	0	0	0	0	0	183	0	0	0	0	0	0
Eukaryota;Fungi;Zygomycota;NA;Umbelopsidales;Umbelopsidaceae;Umbelopsis;Umbelopsis autotrophica;	0	0	0	0	0	392	0	0	0	0	0	103	0	0	18	0	0	0
Eukaryota;Fungi;Zygomycota;NA;Umbelopsidales;Umbelopsidaceae;Umbelopsis;Umbelopsis isabellina;	0	0	0	0	0	596	0	0	0	0	0	137	0	0	0	0	0	0
Eukaryota;Fungi;Zygomycota;NA;Umbelopsidales;Umbelopsidaceae;Umbelopsis;Umbelopsis sp. AU8;	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	1
Eukaryota;Plantae;Streptophyta;Bryopsida;Bryales;Bryaceae;Anomobryum;Anomobryum auratum;	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Plantae;Streptophyta;Bryopsida;Bryales;Bryaceae;Bryum;;	0	0	3	2	33	0	0	0	0	0	0	0	0	0	0	0	8	3
Eukaryota;Plantae;Streptophyta;Bryopsida;Bryales;Bryaceae;Bryum;Bryum argenteum;	0	1	0	16	1	0	0	0	0	0	0	0	0	0	3	1	67	6
Eukaryota;Plantae;Streptophyta;Bryopsida;Bryales;Bryaceae;Bryum;Bryum pseudotriquetrum;	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	6
Eukaryota;Plantae;Streptophyta;Bryopsida;Bryales;Bryaceae;Gemmabryum;Gemmabryum dichotomum;	0	9	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
