"rdata$group" "AR" "BE" "XX" "CM" "DL" "geom"
"1" 0.107671239584681 0 0.11118024154708 0.45862404601153 0.322525626305626 0.0822682818408341
"2" 0.111152174115042 0.0669458281730764 0.0329589069908534 0.482357059806958 0.306587069410227 0.0967994439898161
"3" 0.117281979057079 0.124231674733621 0 0.413260219747624 0.345226955585695 0.109334924457992
"4" 0.118396478151326 0.0620771393047327 0.0484716571776734 0.425244567807487 0.345811336704144 0.0946878453113511
"5" 0.0962420883950486 0.124207080482955 0 0.421121767111749 0.358429493721884 0.0948360742808398
"6" 0.116097934736413 0 0.0935151351070182 0.426744010788223 0.363643101802147 0.089929926788998
"7" 0.204342613638428 0.0356223156355052 0.0308294399038347 0.397993728955076 0.331213075105027 0.0846765515437708
"8" 0.129562716653725 0 0.0002183667466482 0.4146561386629 0.455563768783528 0.0754014476793389
"9" 0.128744505106275 0.0432443556259014 0.0978217035115354 0.46838381431804 0.261806481463157 0.0810263543834335
"10" 0.0621776951419699 0.0653674954609466 0.0995206270079561 0.494740961062416 0.278194371163314 0.0973583642334848
"11" 0.146364578473911 0 0.0811890788820603 0.410148528832551 0.362298017977403 0.0977815532880801
"12" 0.0842774374885824 0 0.158561253222333 0.407245033378709 0.349917015655252 0.0908212224532977
"13" 0.0891317982474263 0 0.0933170188414231 0.426950577977045 0.390601784329292 0.0799024673525777
"14" 0.148005116207321 0 0.104675049547884 0.399676147235078 0.347644830451112 0.0987528017480851
"15" 0.0451470652848348 0.115359598310331 0.0780893975363423 0.469675737188578 0.291729325681499 0.0733186370988421
"16" 0.0750795845874849 0 0.144641109807406 0.361013944354096 0.419266093908955 0.0709736555528217
"17" 0.143015804351528 0.0421594430497843 0.0571897524728321 0.352368749348013 0.405267422212072 0.0882311771612437
"18" 0.0454437991029693 0.149734007360271 0 0.422919041248971 0.381904021901588 0.0850689763894199
"19" 0.0972249756253764 0.129721631266291 0 0.418500095443661 0.354553967425305 0.0723724103298911
"20" 0.15166564052798 0.137635413961136 0 0.374451895944576 0.33624801244993 0.0663035082926624
"21" 0.130195562100776 0.0382246135283968 0.0507485952271957 0.412205509980556 0.368626501902581 0.0746836704336142
"22" 0.101641492816017 0.081403843754585 0.0225793897604553 0.41846691716955 0.375909513743818 0.0891887285154103
"23" 0.136211395255375 0.0522958405903288 0.0471250177663784 0.36578300943291 0.398585887843688 0.0874749165784879
"24" 0.177579893831848 0.104292398232318 0.0247126847085831 0.418197372669853 0.275218866750678 0.0719891854155716
"25" 0.125742463297454 0 0.0966566341954413 0.395027242036968 0.382573940749737 0.105467830449501
"26" 0.156559688991847 0 0.0954354534693895 0.408854576139942 0.339151403696924 0.106930121002712
"27" 0.143267908003171 0.0823506163174666 0.105399329357554 0.47348644158402 0.195496768439173 0.06715672639761
"28" 0.0723834534708754 0 0.0977013752454 0.462393740108025 0.367522235750697 0.0962268540000972
"29" 0.0356115953024879 0.0536893554041183 0.144337071403708 0.47741851968606 0.288944650755954 0.0831300564296513
"30" 0.154286421730298 0.061119543151089 0.0521690916672964 0.456492990251808 0.275933176104787 0.0684468038782711
"31" 0.13915938313374 0.0730283760622439 0.061241177405805 0.312888887930008 0.413683430303807 0.0621326243549815
"32" 0.0765683052911579 0.122127283421636 0 0.514420613300112 0.28688452199735 0.075758967782071
"33" 0.176620180523049 0.0537812569341732 0 0.434775743001195 0.334823990527472 0.0830296659987321
"34" 0.169273140625562 0.135649865409983 0 0.488503744843186 0.20657442256771 0.0847562296638208
"35" 0.179906386937244 0.0645299891412985 0.0135333214805599 0.534620454058979 0.207411011474095 0.0902397207290111
